Father,Son
164.338,168.402
165.354,169.164
167.386,168.656
166.878,168.91
167.64,168.402
170.942,168.656
169.418,168.402
169.164,167.894
169.672,168.91
173.228,168.402
171.45,167.894
173.736,167.386
175.514,166.878
179.832,167.894
156.718,171.704
160.02,171.196
163.322,170.18
162.306,170.688
166.37,170.688
164.338,171.196
164.338,171.196
171.45,173.228
169.672,159.258
165.1,168.402
176.276,166.878
161.798,173.736
164.084,171.45
167.64,170.688
167.64,170.688
168.91,171.45
168.402,169.926
166.878,171.958
169.926,170.18
169.418,169.418
168.91,169.672
170.434,171.196
170.18,169.926
171.704,171.45
171.704,169.926
171.45,170.18
172.974,169.926
174.244,170.18
173.99,170.434
175.768,171.45
177.292,171.45
177.546,170.942
179.07,171.704
159.512,172.212
160.528,172.974
163.576,173.99
163.322,174.244
164.338,172.466
164.338,174.244
167.64,173.228
166.624,173.482
167.132,173.228
167.386,173.228
169.164,173.228
169.672,174.244
169.672,173.482
170.688,174.498
170.434,173.99
169.926,171.958
172.72,172.72
172.72,172.212
173.482,172.974
173.482,174.244
173.228,173.228
173.99,173.228
173.99,173.228
175.514,172.974
175.768,172.974
176.022,173.99
176.276,173.736
178.562,173.228
177.038,171.958
179.07,172.466
181.102,173.482
183.388,173.482
183.642,173.482
159.766,176.784
162.306,174.498
164.084,175.006
166.37,174.752
167.386,175.514
168.402,175.26
167.132,175.26
168.91,174.498
170.942,176.53
171.196,175.514
170.434,175.514
173.99,176.784
171.958,176.276
172.974,175.768
171.704,174.752
172.212,175.26
176.022,176.53
175.514,176.784
174.498,176.276
175.26,176.784
175.006,176.276
174.752,175.006
177.546,174.498
179.07,176.022
177.8,174.498
177.292,174.752
181.356,176.53
180.594,177.038
184.658,177.038
165.862,179.07
167.64,177.8
166.37,179.324
166.624,179.07
167.386,177.8
170.434,177.546
169.926,179.07
172.466,177.546
171.958,177.038
171.45,179.324
172.72,178.308
174.752,178.562
176.276,178.308
174.244,179.07
175.514,179.07
179.07,178.308
177.546,177.8
177.8,178.308
176.784,178.308
180.34,177.8
179.324,178.816
181.61,178.816
181.864,178.308
187.706,178.308
165.1,179.578
168.402,181.61
167.386,181.356
169.926,180.848
170.688,180.086
172.974,181.102
171.704,181.356
171.704,180.848
176.276,180.848
175.006,180.848
175.514,180.34
177.292,181.356
177.8,180.848
176.784,181.864
178.562,181.102
179.578,181.61
180.086,180.086
184.15,181.61
185.42,180.594
188.976,180.086
171.196,184.658
168.91,182.372
172.72,184.404
174.752,184.15
176.022,182.626
178.562,183.388
178.308,184.404
179.832,183.642
179.578,183.134
183.896,183.642
183.896,183.134
170.688,184.912
172.212,184.912
175.006,186.69
178.816,187.198
180.848,184.912
181.356,186.436
182.118,185.42
184.404,185.928
171.704,189.23
174.244,187.452
180.34,187.452
182.88,187.452
191.008,187.452
185.674,192.024
177.546,196.088
166.37,152.654
184.404,195.072
183.388,169.418
160.528,149.352
186.182,172.466
167.132,154.94
171.958,151.892
170.18,179.832
181.102,173.482
182.372,176.022
179.578,176.022
178.562,170.18
