weight,height,size
77,172.72,XXXL
65,177.8,XL
68,175.26,M
64,175.26,XL
52,167.64,S
58,170.18,M
61,172.72,M
63,172.72,M
68,167.64,XL
56,160.02,M
52,180.34,XXS
61,175.26,S
72,165.1,M
53,160.02,S
72,162.56,XL
63,172.72,M
56,165.1,L
65,152.4,XL
54,160.02,S
52,160.02,XXS
81,162.56,XXXL
84,165.1,XXXL
61,177.8,M
45,162.56,XXS
61,162.56,XL
54,157.48,M
57,157.48,M
56,165.1,M
58,170.18,S
52,162.56,S
56,165.1,S
52,154.94,S
52,160.02,S
58,175.26,M
58,152.4,M
79,162.56,XXXL
70,170.18,XXXL
56,162.56,S
55,154.94,M
63,170.18,M
58,157.48,M
55,162.56,S
72,165.1,XXXL
70,167.64,XL
52,157.48,S
58,160.02,L
58,160.02,M
54,162.56,XXS
55,162.56,S
68,167.64,XL
53,157.48,L
53,160.02,S
58,170.18,L
61,160.02,M
63,170.18,L
72,170.18,XXXL
62,167.64,L
65,172.72,XXXL
54,157.48,M
54,157.48,XXS
61,165.1,M
61,162.56,L
70,172.72,L
65,142.24,L
81,172.72,XXXL
65,167.64,L
65,167.64,L
53,162.56,XXS
46,157.48,XXS
54,170.18,XXS
56,172.72,M
68,152.4,XXXL
68,165.1,M
61,162.56,L
61,172.72,XL
61,170.18,L
61,165.1,S
72,172.72,XXXL
54,157.48,M
68,182.88,M
64,172.72,M
54,165.1,S
63,167.64,L
68,160.02,XL
58,154.94,M
58,165.1,M
61,170.18,S
70,160.02,XL
58,175.26,S
77,175.26,XXXL
73,177.8,XXXL
65,167.64,XL
58,162.56,S
58,152.4,L
65,170.18,L
65,162.56,XL
97,162.56,XXXL
55,157.48,S
54,162.56,M
65,172.72,L
56,162.56,M
50,152.4,S
63,170.18,L
63,177.8,M
68,175.26,XXXL
53,172.72,M
53,154.94,M
68,172.72,L
65,170.18,L
56,167.64,M
53,154.94,S
58,157.48,M
65,180.34,L
55,167.64,S
52,167.64,XXS
74,167.64,XXXL
54,165.1,S
62,172.72,XL
52,167.64,XXS
79,167.64,XXXL
75,182.88,XXXL
65,170.18,M
65,157.48,XXXL
58,167.64,XL
68,167.64,XL
70,177.8,L
70,167.64,XXXL
45,157.48,XXS
65,167.64,XL
86,160.02,XXXL
50,152.4,M
58,157.48,L
53,167.64,S
43,157.48,S
58,162.56,M
54,172.72,S
72,157.48,XXXL
52,154.94,M
61,162.56,M
68,170.18,XXXL
58,170.18,L
48,160.02,XXS
56,152.4,L
54,165.1,M
61,162.56,M
70,160.02,XXXL
62,167.64,L
56,165.1,S
56,162.56,S
47,160.02,XXS
68,167.64,XL
58,162.56,S
61,160.02,L
56,167.64,XXS
56,165.1,M
81,187.96,XXXL
56,165.1,XL
61,165.1,M
65,172.72,L
72,172.72,XXXL
63,175.26,L
68,160.02,XXXL
46,157.48,XXS
58,162.56,M
64,165.1,M
65,167.64,L
49,162.56,S
55,170.18,S
70,167.64,XL
72,167.64,XL
56,160.02,M
58,162.56,M
62,167.64,XL
68,167.64,XL
63,172.72,XL
58,160.02,L
63,160.02,XL
56,162.56,M
58,165.1,S
63,170.18,M
52,162.56,S
65,167.64,XL
70,172.72,XXXL
58,172.72,M
67,172.72,XL
58,162.56,M
52,160.02,S
54,152.4,L
52,162.56,S
58,170.18,S
70,170.18,XXXL
49,165.1,XXS
62,167.64,M
74,162.56,XL
56,157.48,S
69,167.64,L
74,170.18,XXXL
58,160.02,XXXL
55,175.26,S
62,162.56,S
65,167.64,M
65,165.1,XXXL
57,170.18,M
56,165.1,S
58,170.18,M
61,170.18,M
61,175.26,L
52,162.56,S
58,165.1,M
74,175.26,XXXL
56,167.64,S
63,162.56,L
52,157.48,M
63,165.1,XL
65,167.64,L
61,165.1,M
52,157.48,M
78,175.26,XL
52,162.56,S
68,160.02,XL
56,160.02,M
65,172.72,L
64,162.56,XL
77,167.64,XXXL
56,162.56,S
50,162.56,XXS
63,157.48,L
65,172.72,XL
56,170.18,XXS
49,154.94,S
63,170.18,XL
57,162.56,M
56,167.64,M
56,167.64,M
54,167.64,M
64,165.1,M
90,167.64,XXXL
68,165.1,XL
56,167.64,S
54,162.56,L
56,160.02,S
63,172.72,L
61,172.72,M
47,157.48,XXS
49,162.56,S
61,165.1,XXXL
68,,XL
58,165.1,L
48,165.1,XXS
56,170.18,S
104,162.56,XXXL
58,165.1,M
54,170.18,M
54,165.1,M
62,170.18,M
65,165.1,XXXL
54,154.94,M
55,162.56,M
63,162.56,XL
58,167.64,M
48,154.94,S
52,157.48,S
61,170.18,XXXL
54,165.1,S
54,157.48,S
63,165.1,L
56,160.02,M
61,154.94,M
68,172.72,XL
63,177.8,L
71,162.56,XXXL
72,170.18,XXXL
63,175.26,XL
79,165.1,XXXL
58,162.56,XL
55,172.72,L
86,175.26,XXXL
72,172.72,XXXL
54,167.64,S
55,167.64,S
52,162.56,S
65,165.1,XL
72,160.02,XXXL
70,170.18,L
58,160.02,M
65,167.64,XXXL
49,154.94,XXS
49,154.94,XXXL
65,162.56,L
48,160.02,S
88,172.72,XXXL
54,162.56,S
60,157.48,M
53,162.56,M
53,167.64,S
53,170.18,S
56,160.02,XL
61,162.56,M
83,154.94,XXXL
52,157.48,S
70,160.02,XXXL
49,167.64,S
54,165.1,M
61,165.1,L
56,160.02,L
63,160.02,M
95,167.64,XXXL
65,160.02,M
56,167.64,S
58,172.72,S
53,157.48,S
61,165.1,M
47,160.02,S
61,167.64,M
63,165.1,XL
70,172.72,L
69,160.02,XXXL
55,172.72,S
52,165.1,XXS
65,160.02,XL
72,165.1,XXXL
63,167.64,XXXL
68,172.72,XXXL
54,175.26,XL
68,162.56,L
56,157.48,XL
61,157.48,L
51,162.56,XXS
51,160.02,XXS
61,157.48,L
56,157.48,M
72,157.48,XXXL
70,162.56,L
63,160.02,XL
53,160.02,S
92,182.88,XXXL
74,162.56,XXXL
78,172.72,XXXL
63,172.72,L
54,154.94,M
53,162.56,S
54,157.48,M
49,172.72,S
55,157.48,M
58,167.64,M
72,170.18,XXXL
63,170.18,L
56,162.56,S
52,162.56,M
47,149.86,XXS
63,167.64,XXXL
79,177.8,XXXL
70,165.1,XL
65,157.48,XL
52,167.64,S
52,162.56,XXS
58,165.1,M
52,157.48,S
61,154.94,XL
56,165.1,S
55,170.18,M
52,165.1,XXS
54,172.72,L
60,170.18,M
49,170.18,S
61,167.64,L
68,170.18,XXXL
61,162.56,XL
61,165.1,M
58,157.48,L
65,170.18,L
51,162.56,S
58,152.4,L
61,185.42,L
95,170.18,XXXL
77,172.72,XXXL
56,167.64,S
49,157.48,XXS
60,162.56,XL
65,180.34,XXXL
54,154.94,M
59,157.48,XL
52,162.56,S
49,170.18,S
81,172.72,XXXL
52,162.56,S
56,170.18,M
58,157.48,S
65,180.34,S
83,167.64,XL
72,162.56,XXXL
58,157.48,XL
68,175.26,XL
54,160.02,S
83,167.64,XXXL
73,154.94,XL
72,172.72,XL
58,157.48,XL
58,167.64,L
84,177.8,XXXL
58,167.64,L
61,177.8,M
58,162.56,XXS
61,170.18,M
53,165.1,S
56,165.1,M
57,162.56,M
66,175.26,L
51,157.48,S
76,175.26,XL
86,167.64,XXXL
67,170.18,XL
53,175.26,XXS
68,162.56,XL
64,162.56,XXXL
65,170.18,XL
52,167.64,XXS
63,167.64,M
58,157.48,L
58,167.64,M
65,160.02,L
58,162.56,S
70,175.26,L
63,162.56,L
70,167.64,XL
61,170.18,XL
61,162.56,S
56,165.1,L
56,160.02,M
49,172.72,XXS
61,157.48,XXXL
44,152.4,XXS
60,165.1,L
56,157.48,M
64,165.1,M
48,157.48,S
54,160.02,S
54,167.64,S
57,167.64,M
77,170.18,XXXL
56,175.26,S
62,167.64,M
61,162.56,M
65,170.18,L
54,157.48,S
59,162.56,L
64,172.72,M
57,172.72,M
61,165.1,L
56,157.48,S
64,167.64,XL
49,162.56,XXS
61,157.48,M
81,167.64,XXXL
54,157.48,M
61,167.64,XL
61,162.56,M
65,160.02,XXXL
58,165.1,M
74,162.56,XXXL
55,167.64,S
54,177.8,S
49,160.02,S
58,162.56,M
58,160.02,L
48,160.02,S
52,167.64,XXXL
74,177.8,XL
61,172.72,L
72,162.56,S
63,172.72,M
56,162.56,S
70,165.1,XL
58,170.18,M
56,170.18,M
56,170.18,M
54,165.1,S
77,165.1,XXXL
77,160.02,XXXL
61,170.18,L
49,152.4,S
54,162.56,M
53,160.02,S
56,172.72,S
61,165.1,XL
56,170.18,S
65,165.1,L
58,165.1,S
65,157.48,XXXL
63,162.56,L
57,167.64,S
68,175.26,XXXL
61,162.56,L
56,157.48,M
58,157.48,M
54,170.18,M
58,160.02,M
77,170.18,XXXL
99,175.26,XXXL
58,165.1,S
61,177.8,XL
72,172.72,L
47,152.4,XXS
86,167.64,XXXL
74,167.64,XXXL
72,175.26,XXXL
74,175.26,XXXL
65,175.26,XL
49,170.18,XXS
58,177.8,M
53,160.02,S
54,165.1,M
83,182.88,XXXL
74,165.1,XXXL
63,165.1,XXXL
65,157.48,XL
45,162.56,S
56,162.56,M
65,167.64,XL
49,157.48,S
58,162.56,M
90,160.02,XXXL
56,170.18,S
57,160.02,M
65,170.18,M
58,167.64,L
58,167.64,S
61,157.48,XL
56,160.02,S
47,154.94,XXS
48,157.48,S
63,172.72,M
70,167.64,XL
54,162.56,M
77,157.48,XXXL
54,154.94,S
54,165.1,XXS
58,154.94,M
62,170.18,L
64,157.48,XXXL
58,170.18,M
45,170.18,XXS
48,157.48,XXS
55,160.02,L
54,154.94,S
61,162.56,XL
90,172.72,L
57,170.18,L
56,165.1,S
102,170.18,XXXL
70,170.18,XXXL
68,177.8,XL
61,165.1,M
65,162.56,L
58,157.48,M
70,162.56,XXXL
79,157.48,XXXL
68,162.56,L
49,167.64,S
58,157.48,XL
68,180.34,XL
58,162.56,L
78,177.8,XL
55,170.18,M
59,162.56,M
56,160.02,S
60,157.48,S
58,157.48,L
58,175.26,S
77,167.64,XXXL
63,170.18,L
56,162.56,M
65,160.02,M
57,162.56,M
43,147.32,XXS
56,154.94,S
53,160.02,M
64,167.64,L
90,165.1,XXXL
61,160.02,M
72,157.48,XXXL
81,167.64,XXXL
54,160.02,M
92,157.48,XXXL
48,167.64,XXS
70,165.1,XL
52,152.4,XXS
52,157.48,M
56,175.26,M
74,160.02,XXXL
56,162.56,S
61,165.1,XXXL
58,167.64,M
54,162.56,XXS
56,157.48,S
56,165.1,XL
63,170.18,L
57,162.56,S
61,177.8,S
61,172.72,M
63,165.1,XL
63,160.02,XL
40,160.02,XXS
70,175.26,XXXL
70,167.64,XXXL
68,170.18,XXXL
63,165.1,L
46,149.86,XXS
56,170.18,S
61,170.18,XL
61,170.18,XL
54,162.56,XXS
65,165.1,XL
58,165.1,S
65,172.72,L
58,165.1,L
65,165.1,M
55,160.02,S
68,165.1,XL
70,177.8,XL
63,167.64,L
56,172.72,M
60,167.64,S
52,162.56,S
61,165.1,M
45,147.32,XXS
79,175.26,XXXL
72,185.42,XL
47,152.4,S
68,177.8,M
61,162.56,XL
58,172.72,S
64,167.64,L
63,170.18,XL
55,154.94,M
58,170.18,M
58,160.02,M
61,170.18,M
58,157.48,XL
86,167.64,XXXL
55,167.64,M
54,160.02,L
52,167.64,S
58,165.1,M
68,167.64,XL
53,157.48,S
61,165.1,XL
79,175.26,XXXL
57,160.02,M
67,170.18,M
56,165.1,S
58,152.4,XL
72,167.64,XXXL
68,172.72,M
70,170.18,XXXL
70,170.18,XXXL
68,157.48,XL
54,162.56,M
54,172.72,M
54,175.26,XXS
56,165.1,L
59,,M
52,160.02,XXS
57,162.56,XL
54,167.64,XL
53,170.18,M
63,160.02,M
71,172.72,XL
74,180.34,L
77,175.26,XXXL
61,175.26,M
52,167.64,S
65,177.8,XL
65,170.18,XL
61,175.26,M
58,170.18,M
72,160.02,XXXL
56,165.1,M
65,167.64,M
95,165.1,XXXL
79,167.64,XXXL
58,167.64,XXXL
54,177.8,S
55,165.1,M
56,165.1,XL
86,,XXXL
65,157.48,XL
61,160.02,M
86,172.72,XXXL
61,170.18,M
57,160.02,XL
68,162.56,XL
50,162.56,S
58,160.02,S
64,175.26,XL
65,175.26,L
46,154.94,M
65,175.26,XL
56,154.94,M
65,165.1,XL
96,165.1,XXXL
54,154.94,S
67,165.1,XXXL
68,157.48,XL
63,170.18,M
62,172.72,L
58,162.56,L
59,167.64,M
52,162.56,XXS
74,162.56,XL
68,165.1,XL
58,167.64,M
65,162.56,XXXL
56,162.56,XXXL
108,160.02,XXXL
45,162.56,XXS
54,157.48,M
54,157.48,XXS
75,160.02,L
62,170.18,S
52,172.72,XXS
53,154.94,S
63,160.02,XL
73,180.34,XXXL
52,152.4,S
72,160.02,XL
56,167.64,M
56,160.02,S
53,162.56,M
61,157.48,L
86,170.18,XXXL
56,167.64,M
77,170.18,XL
61,160.02,M
62,167.64,L
58,167.64,M
63,170.18,XL
47,160.02,XXS
45,160.02,XXS
68,170.18,XL
83,165.1,XXXL
49,152.4,S
63,167.64,XL
54,162.56,XXS
97,167.64,XXXL
63,172.72,M
56,167.64,M
55,170.18,M
52,157.48,M
72,167.64,XXXL
61,170.18,S
63,157.48,XL
56,160.02,M
56,160.02,M
43,160.02,XXS
72,177.8,XL
58,167.64,L
64,172.72,XL
68,172.72,L
61,165.1,M
58,162.56,S
70,165.1,XL
58,157.48,M
68,167.64,XXXL
72,167.64,XL
56,165.1,XL
52,170.18,S
60,160.02,L
54,165.1,S
72,162.56,XL
65,165.1,L
50,154.94,S
74,154.94,M
83,170.18,XXXL
71,170.18,XXXL
60,157.48,L
63,157.48,L
58,175.26,M
86,170.18,XXXL
54,157.48,M
70,162.56,XXXL
49,160.02,S
70,175.26,XXXL
51,157.48,S
65,167.64,L
52,152.4,S
63,160.02,XXXL
54,147.32,L
77,167.64,XXXL
74,162.56,XXXL
64,162.56,XL
54,167.64,M
58,160.02,L
58,167.64,S
54,157.48,S
55,167.64,S
65,172.72,XL
61,162.56,L
68,152.4,XL
61,165.1,XL
57,170.18,M
68,175.26,M
70,170.18,XXXL
51,154.94,S
48,157.48,S
58,167.64,L
61,160.02,M
59,170.18,M
58,167.64,S
56,167.64,S
53,157.48,XXS
61,165.1,L
79,162.56,XXXL
58,165.1,S
56,162.56,S
81,175.26,XXXL
58,165.1,M
56,170.18,M
68,165.1,L
54,170.18,S
81,167.64,M
52,157.48,XL
63,167.64,XXXL
46,160.02,S
53,170.18,XXS
58,162.56,M
65,167.64,XL
54,162.56,S
49,157.48,S
65,157.48,M
56,165.1,L
49,154.94,XXS
65,165.1,L
61,177.8,M
83,177.8,XXXL
49,170.18,XXS
51,160.02,XXS
60,165.1,S
62,170.18,L
58,172.72,S
58,165.1,M
72,170.18,XXXL
52,170.18,S
89,170.18,XXXL
61,167.64,M
56,157.48,XL
88,162.56,XXXL
65,162.56,XXXL
54,162.56,S
58,170.18,M
72,172.72,XXXL
74,165.1,XXXL
61,170.18,L
63,175.26,L
65,160.02,XL
49,152.4,XXS
83,172.72,XXXL
56,170.18,S
54,170.18,S
58,170.18,S
61,165.1,M
65,162.56,XL
63,162.56,L
55,157.48,S
74,175.26,XXXL
55,170.18,M
53,160.02,XXS
58,167.64,L
49,157.48,XXS
61,160.02,M
61,157.48,M
79,177.8,XXXL
65,162.56,XXXL
56,162.56,S
68,180.34,L
58,165.1,M
54,162.56,M
58,167.64,S
49,157.48,S
61,165.1,M
70,162.56,XXXL
65,152.4,XXXL
49,157.48,XXS
74,165.1,XXXL
43,152.4,XXS
65,160.02,XL
57,154.94,M
63,157.48,L
46,157.48,XXS
54,160.02,M
52,160.02,XXS
57,157.48,XL
58,165.1,M
57,172.72,M
52,167.64,XXS
62,170.18,L
54,162.56,XXS
65,177.8,XL
61,167.64,M
72,172.72,XL
64,172.72,L
74,177.8,XL
65,175.26,M
54,170.18,S
54,160.02,S
67,165.1,XL
54,170.18,S
95,175.26,XXXL
68,167.64,XXXL
52,160.02,XXS
63,162.56,XXXL
68,165.1,XXXL
58,160.02,S
58,165.1,M
56,167.64,M
70,162.56,XXXL
51,162.56,XXS
86,162.56,XXXL
62,165.1,M
49,157.48,M
58,165.1,L
45,172.72,S
56,170.18,XXS
58,167.64,M
59,165.1,L
53,172.72,S
65,170.18,XL
58,167.64,XXXL
74,160.02,XXXL
54,160.02,S
63,167.64,L
56,157.48,XL
59,160.02,M
73,172.72,XL
65,175.26,L
61,160.02,L
53,152.4,S
56,157.48,S
61,170.18,M
56,170.18,S
63,162.56,M
56,162.56,S
47,157.48,S
72,175.26,XXXL
62,170.18,M
65,170.18,M
56,162.56,M
58,167.64,M
58,165.1,M
56,170.18,S
70,167.64,XXXL
56,154.94,S
58,160.02,M
74,177.8,XL
74,165.1,XL
47,167.64,S
56,167.64,XL
77,182.88,XXXL
56,162.56,M
50,165.1,S
72,165.1,XXXL
76,162.56,L
69,165.1,XL
56,167.64,S
65,157.48,L
68,170.18,XXXL
68,160.02,XL
58,172.72,XL
62,170.18,L
58,165.1,M
74,170.18,XXXL
61,165.1,M
57,167.64,M
47,157.48,S
61,167.64,L
53,170.18,S
63,165.1,L
56,167.64,S
55,167.64,XL
54,162.56,S
61,165.1,M
58,167.64,M
72,165.1,XL
56,162.56,M
54,165.1,XXS
61,172.72,M
68,175.26,XXXL
47,154.94,XXS
62,170.18,XL
58,154.94,M
48,170.18,XXS
65,167.64,XL
54,172.72,M
53,167.64,S
64,172.72,L
63,162.56,M
63,177.8,M
58,170.18,M
68,162.56,XXXL
61,162.56,L
56,162.56,XL
58,157.48,L
61,162.56,M
49,154.94,XXS
58,172.72,S
68,175.26,XL
88,185.42,XXXL
60,180.34,L
57,162.56,XXXL
70,170.18,XL
54,167.64,M
58,170.18,S
56,157.48,M
71,165.1,XXXL
45,160.02,XXS
58,162.56,M
47,157.48,S
61,165.1,XL
56,175.26,M
63,165.1,L
74,172.72,XXXL
49,157.48,XXS
74,160.02,XXXL
54,165.1,S
83,170.18,XXXL
62,165.1,M
56,162.56,S
53,157.48,M
48,154.94,XXS
71,165.1,XXXL
49,157.48,XXS
68,170.18,L
55,167.64,M
58,162.56,XXS
68,162.56,M
88,157.48,XXXL
58,152.4,L
65,170.18,L
68,177.8,XL
63,162.56,XL
47,152.4,XXS
56,170.18,M
61,160.02,M
49,157.48,S
57,162.56,M
61,162.56,XL
65,152.4,XXXL
60,172.72,M
59,154.94,XL
81,165.1,XXXL
68,162.56,XL
61,167.64,M
81,180.34,XXXL
61,162.56,XXXL
63,162.56,XL
56,165.1,M
54,165.1,S
54,160.02,S
68,165.1,L
46,152.4,S
54,175.26,S
49,162.56,S
59,175.26,M
50,154.94,M
63,157.48,XL
65,162.56,XL
54,165.1,M
54,152.4,XXS
61,157.48,M
54,162.56,M
63,157.48,L
72,165.1,XXXL
62,167.64,S
77,167.64,XXXL
68,165.1,XL
56,149.86,L
74,167.64,XXXL
53,152.4,S
61,160.02,M
51,160.02,XXS
56,170.18,S
56,170.18,M
68,180.34,XL
53,177.8,S
52,167.64,XXS
58,165.1,S
56,170.18,M
54,162.56,S
63,172.72,XL
58,165.1,M
61,165.1,M
65,175.26,XL
56,160.02,XXS
56,160.02,M
57,167.64,M
54,167.64,XXS
68,165.1,XL
58,165.1,XXS
56,157.48,S
56,160.02,M
68,165.1,XL
56,160.02,M
53,160.02,M
57,167.64,M
68,180.34,XXXL
52,170.18,S
56,165.1,S
63,170.18,M
74,162.56,XXXL
74,180.34,XXXL
73,162.56,XXXL
72,167.64,XL
72,165.1,XXXL
65,177.8,L
70,180.34,M
58,162.56,M
58,165.1,M
86,170.18,XXXL
54,160.02,XXS
56,160.02,M
56,170.18,M
72,162.56,XXXL
61,160.02,L
68,175.26,XXXL
54,157.48,S
63,170.18,XL
54,157.48,XXS
57,160.02,M
56,165.1,M
50,152.4,M
61,175.26,L
49,162.56,XXS
70,170.18,XXXL
78,180.34,XXXL
50,162.56,XXS
56,172.72,S
54,157.48,M
58,167.64,M
58,170.18,M
53,167.64,S
63,160.02,L
58,170.18,S
54,149.86,S
49,162.56,XXS
53,152.4,S
58,160.02,XL
43,152.4,XXS
65,172.72,L
52,157.48,M
56,165.1,M
83,160.02,XXXL
56,167.64,S
63,157.48,L
72,172.72,XXXL
72,172.72,XL
63,172.72,L
74,180.34,L
63,165.1,M
52,154.94,XXS
81,160.02,XXXL
48,157.48,XXS
56,157.48,M
54,162.56,S
58,162.56,M
51,167.64,S
56,162.56,M
51,160.02,XXS
68,177.8,XXXL
72,170.18,XXXL
63,165.1,L
63,167.64,L
64,167.64,XL
53,157.48,S
58,165.1,L
58,175.26,S
64,162.56,XL
63,167.64,M
65,167.64,L
58,160.02,M
63,175.26,L
49,160.02,XXS
61,162.56,M
52,152.4,M
55,154.94,M
86,162.56,XXXL
68,177.8,XL
58,162.56,M
53,157.48,S
54,160.02,S
53,162.56,S
59,172.72,XL
63,180.34,L
56,157.48,S
56,175.26,XXS
72,152.4,XXXL
56,154.94,M
68,175.26,XL
56,157.48,S
61,170.18,L
47,157.48,XXS
58,162.56,M
61,162.56,L
45,162.56,M
68,,XXXL
60,170.18,XL
54,167.64,S
72,177.8,XL
65,160.02,XXXL
90,162.56,XXXL
68,172.72,L
65,172.72,XL
74,175.26,XXXL
68,170.18,XL
56,160.02,M
58,162.56,M
81,170.18,XXXL
72,180.34,XL
56,165.1,M
62,160.02,M
61,165.1,L
55,167.64,M
58,157.48,M
63,167.64,XL
61,172.72,M
63,180.34,M
70,175.26,L
77,182.88,XXXL
58,165.1,L
53,157.48,M
61,177.8,L
58,165.1,S
58,167.64,M
59,160.02,M
68,167.64,XL
63,177.8,L
58,160.02,L
72,167.64,XXXL
56,172.72,M
72,165.1,XXXL
68,165.1,XL
59,167.64,L
50,162.56,XXS
70,170.18,XL
61,165.1,XL
58,162.56,M
49,157.48,S
61,177.8,M
56,170.18,M
56,165.1,M
56,177.8,L
68,175.26,XXXL
62,167.64,L
86,175.26,XXXL
53,162.56,XXS
56,165.1,M
65,165.1,XXXL
65,160.02,XXXL
70,180.34,XL
61,167.64,XXXL
62,170.18,L
47,154.94,XXS
